Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rating
Tetris Party Deluxe,Wii,2010.0,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,"Tetris Online, Inc",0
DS Bimoji Training,DS,2008.0,Misc,Nintendo,0.0,0.0,0.56,0.0,0.56,Unknown,0
Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,SCE Japan Studio,2
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,Remedy Entertainment,1
Archer Maclean's Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,Awesome Studios,0
TMNT,X360,2007.0,Action,Ubisoft,0.48,0.03,0.0,0.05,0.56,Ubisoft Montreal,3
Middle-Earth: Shadow of Mordor,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,Behaviour Interactive,1
Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56,Pipe Dream Interactive,1
FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,EA Sports,0
Final Fantasy IV: The Complete Collection,PSP,2011.0,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,Bullets,3
Frontlines: Fuel of War,X360,2008.0,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,Kaos Studios,2
MX 2002 Featuring Ricky Carmichael,PS2,2001.0,Racing,THQ,0.27,0.21,0.0,0.07,0.56,Pacific Coast Power & Light,0
NCAA Football 07,XB,2006.0,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56,EA Sports,0
Lunar: Silver Star Story Complete,PS,1998.0,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,Game Arts,2
Harvest Moon: The Tale of Two Towns,DS,2010.0,Simulation,Natsume,0.25,0.05,0.22,0.03,0.55,Marvelous Entertainment,0
No More Heroes,Wii,2007.0,Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,Grasshopper Manufacture,1
NBA Showtime: NBA on NBC,PS,1999.0,Sports,Midway Games,0.31,0.21,0.0,0.04,0.55,Unknown,0
God of War: Origins Collection,PS3,2011.0,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,Ready at Dawn,1
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008.0,Platform,Take-Two Interactive,0.49,0.02,0.0,0.04,0.55,High Voltage Software,0
Soul Reaver 2,PS2,2001.0,Action,Eidos Interactive,0.27,0.21,0.0,0.07,0.55,Crystal Dynamics,1
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,Aspect,1
The Godfather (old US sales),XB,2006.0,Action,Electronic Arts,0.42,0.11,0.0,0.02,0.55,Unknown,0
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,Ninja Theory,2
Daytona USA,SAT,1994.0,Racing,Sega,0.0,0.0,0.55,0.0,0.55,Unknown,0
WWF Raw,XB,2002.0,Fighting,THQ,0.4,0.13,0.0,0.02,0.55,Anchor,2
Shin Super Robot Taisen,PS,1996.0,Role-Playing,Banpresto,0.0,0.0,0.52,0.04,0.55,Unknown,0
Jump Super Stars,DS,2005.0,Fighting,Nintendo,0.0,0.0,0.55,0.0,0.55,Unknown,0
Guitar Hero Live,XOne,2015.0,Misc,Activision,0.3,0.2,0.0,0.05,0.55,FreeStyleGames,2
The Activision Decathlon,2600,1982.0,Sports,Activision,0.52,0.03,0.0,0.01,0.55,Unknown,0
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001.0,Shooter,D3Publisher,0.31,0.21,0.0,0.04,0.55,Unknown,0
Fighting Force 2,PS,1999.0,Action,Eidos Interactive,0.31,0.21,0.0,0.04,0.55,Unknown,0
Sakura Wars,SAT,1996.0,Adventure,Sega,0.0,0.0,0.55,0.0,0.55,Unknown,0
Catz,DS,2006.0,Simulation,Ubisoft,0.49,0.02,0.0,0.04,0.55,Powerhead Games,0
Extermination,PS2,2001.0,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55,Deep Space,1
Batman: Vengeance,PS2,2001.0,Adventure,Ubisoft,0.27,0.21,0.0,0.07,0.55,Ubisoft,2
Ratchet & Clank: Quest for Booty,PS3,2008.0,Platform,Sony Computer Entertainment,0.0,0.52,0.0,0.04,0.55,Unknown,0
Derby Stallion 04,PS2,2004.0,Sports,Enterbrain,0.0,0.0,0.55,0.0,0.55,Unknown,0
Rapala Tournament Fishing!,Wii,2006.0,Sports,Activision,0.51,0.0,0.0,0.04,0.55,Unknown,0
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55,Clap Hanz,0
Tony Hawk's Pro Skater 3,XB,2002.0,Sports,Activision,0.34,0.18,0.0,0.02,0.55,Neversoft Entertainment,2
Mega Man Zero,GBA,2002.0,Platform,Capcom,0.22,0.08,0.24,0.01,0.55,Inti,0
Contender 2,PS,2000.0,Fighting,3DO,0.31,0.21,0.0,0.04,0.55,Bam Entertainment,2
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.55,Capcom,1
Star Wars: Dark Forces,PS,1996.0,Shooter,LucasArts,0.31,0.21,0.0,0.04,0.55,Unknown,0
LEGO Dimensions,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.17,0.3,0.0,0.09,0.55,Unknown,0
NBA 2K8,PS3,2007.0,Sports,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55,Visual Concepts,0
Rayman Origins,Wii,2011.0,Platform,Ubisoft,0.21,0.27,0.0,0.06,0.55,UBlart Montpellier,3
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,Activision,0.2,0.25,0.02,0.09,0.55,Unknown,0
SD Gundam G Generation Zero,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.51,0.04,0.55,Unknown,0
Assassin's Creed: Unity,PC,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,"Ubisoft, Ubisoft Montreal",1
MX vs. ATV: Alive,X360,2011.0,Racing,THQ,0.37,0.13,0.0,0.04,0.55,THQ Digital Studio Phoenix,0
Super Robot Taisen F,SAT,1997.0,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55,Unknown,0
Shrek 2,XB,2004.0,Platform,Activision,0.4,0.13,0.0,0.02,0.55,"Luxoflux, Inc.",0
Purr Pals,DS,2007.0,Simulation,THQ,0.18,0.35,0.0,0.02,0.55,Brain Toys,0
Assassin's Creed II,PC,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55,Ubisoft Montreal,1
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002.0,Sports,Sega,0.0,0.0,0.55,0.0,0.55,Unknown,0
Secret Agent Clank(US sales),PSP,2008.0,Platform,Sony Computer Entertainment,0.33,0.22,0.0,0.0,0.55,Unknown,0
SpongeBob SquarePants: SuperSponge,GBA,2001.0,Action,THQ,0.39,0.15,0.0,0.01,0.55,Unknown,0
Super Robot Taisen F Kanketsuhen,SAT,1998.0,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55,Unknown,0
Tak and the Power of Juju,GBA,2003.0,Platform,THQ,0.39,0.15,0.0,0.01,0.55,Avalanche Software,0
Madagascar: Escape 2 Africa,Wii,2008.0,Action,Activision,0.31,0.18,0.0,0.05,0.55,Unknown,0
Lips: Number One Hits,X360,2009.0,Misc,Microsoft Game Studios,0.15,0.34,0.0,0.06,0.55,iNiS,2
Mortal Kombat 3,PS,1995.0,Fighting,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55,Unknown,0
Star Wars Battlefront (2015),PC,2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,Unknown,0
Turok: Evolution,XB,2002.0,Shooter,Acclaim Entertainment,0.39,0.14,0.0,0.02,0.55,Acclaim,1
Grease,Wii,2010.0,Misc,505 Games,0.26,0.24,0.0,0.05,0.55,Unknown,0
Jak X: Combat Racing,PS2,2005.0,Racing,Sony Computer Entertainment,0.45,0.02,0.0,0.07,0.55,Naughty Dog,2
Donkey Kong Jungle Climber,DS,2007.0,Platform,Nintendo,0.25,0.03,0.24,0.03,0.55,Unknown,0
American Idol,PS2,2003.0,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55,Hothouse Creations,0
Top Gun: Fire at Will!,PS,1996.0,Misc,Microprose,0.3,0.21,0.0,0.04,0.55,Unknown,0
Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,Activision,0.5,0.0,0.0,0.04,0.55,Activision,0
Red Dead Revolver,XB,2004.0,Shooter,Take-Two Interactive,0.4,0.12,0.0,0.02,0.55,Rockstar San Diego,1
CrossworDS,DS,2008.0,Puzzle,Deep Silver,0.5,0.0,0.0,0.04,0.55,Nuevo Retro Games,0
Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,THQ,0.26,0.23,0.0,0.06,0.55,Rare Ltd.,0
Petz Catz Clan,DS,2008.0,Simulation,Ubisoft,0.47,0.03,0.0,0.04,0.54,Digital Kids,0
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010.0,Simulation,Activision,0.4,0.1,0.0,0.04,0.54,Activision,0
Sly Cooper: Thieves in Time,PS3,2013.0,Platform,Sony Computer Entertainment Europe,0.35,0.12,0.0,0.08,0.54,Sanzaru Games,3
Iron Man,PS2,2008.0,Action,Sega,0.36,0.0,0.0,0.19,0.54,Artificial Mind and Movement,2
SingStar Summer Party,PS2,2008.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.48,0.54,Unknown,0
Spec Ops: The Line,PS3,2012.0,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,Yager,1
The SpongeBob SquarePants Movie,XB,2004.0,Platform,THQ,0.4,0.12,0.0,0.02,0.54,Heavy Iron Studios,0
NHL 14,PS3,2013.0,Sports,Electronic Arts,0.28,0.17,0.0,0.09,0.54,Electronic Arts,3
F1 2013,PS3,2013.0,Racing,Codemasters,0.01,0.42,0.03,0.09,0.54,Codemasters Birmingham,0
FIFA Soccer 07,XB,2006.0,Sports,Electronic Arts,0.16,0.35,0.0,0.04,0.54,Unknown,0
Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000.0,Sports,SquareSoft,0.0,0.0,0.54,0.0,0.54,Unknown,0
Legends of WrestleMania,PS3,2009.0,Fighting,THQ,0.3,0.16,0.0,0.07,0.54,Yuke's,2
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008.0,Misc,THQ,0.5,0.0,0.0,0.04,0.54,THQ,0
Tiger Woods PGA Tour 08,X360,2007.0,Sports,Electronic Arts,0.49,0.02,0.0,0.04,0.54,EA Salt Lake,0
Medarot 2: Kabuto / Kuwagata Version,GB,1999.0,Role-Playing,Imagineer,0.0,0.0,0.54,0.0,0.54,Unknown,0
Dance Dance Revolution Ultramix,XB,2003.0,Simulation,Konami Digital Entertainment,0.42,0.11,0.0,0.02,0.54,Konami Computer Entertainment Hawaii,0
Crash Tag Team Racing,PS2,2005.0,Racing,Vivendi Games,0.27,0.21,0.0,0.07,0.54,Radical Entertainment,3
Front Mission 4,PS2,2003.0,Strategy,Square Enix,0.14,0.11,0.25,0.04,0.54,Square Enix,2
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003.0,Platform,THQ,0.39,0.14,0.0,0.01,0.54,Unknown,0
Rayman Origins,PSV,2012.0,Platform,Ubisoft,0.12,0.33,0.0,0.09,0.54,UBlart Montpellier,3
Ninokuni: Shikkoku no Madoushi,DS,2010.0,Role-Playing,Level 5,0.0,0.0,0.54,0.0,0.54,Unknown,0
F.E.A.R.,PS3,2007.0,Shooter,Vivendi Games,0.18,0.26,0.0,0.1,0.54,Day 1 Studios,1
Enslaved: Odyssey to the West,X360,2010.0,Action,Namco Bandai Games,0.3,0.19,0.0,0.05,0.54,Ninja Theory,2
SRS: Street Racing Syndicate,PS2,2004.0,Racing,Namco Bandai Games,0.26,0.21,0.0,0.07,0.54,Unknown,0
Dragon Ball Z: Shin Budokai,PSP,2006.0,Fighting,Atari,0.26,0.08,0.13,0.07,0.54,Dimps Corporation,2
Tiger Woods PGA Tour 13,PS3,2012.0,Sports,Electronic Arts,0.24,0.21,0.0,0.08,0.54,Electronic Arts,0
Dynasty Warriors: Gundam 3,PS3,2010.0,Action,Tecmo Koei,0.11,0.04,0.36,0.02,0.54,"Omega Force, Koei Tecmo Games",2
Action Force,2600,1982.0,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,Unknown,0
FIFA 99,N64,1998.0,Sports,Electronic Arts,0.11,0.39,0.0,0.03,0.54,Unknown,0
Gauntlet Legends,N64,1999.0,Action,Midway Games,0.43,0.1,0.0,0.01,0.54,Unknown,0
Kidou Senshi Gundam: Extreme VS,PS3,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.54,0.0,0.54,Unknown,0
System 3 presents Ferrari Challenge Trofeo Pirelli,Wii,2008.0,Racing,System 3 Arcade Software,0.07,0.4,0.0,0.07,0.54,Unknown,0
Tony Hawk: Shred,Wii,2010.0,Sports,Activision,0.39,0.11,0.0,0.04,0.54,Robomodo,0
Tiger Woods PGA Tour 11,Wii,2010.0,Sports,Electronic Arts,0.23,0.25,0.0,0.06,0.54,EA Sports,0
NBA Live 10,PS3,2009.0,Sports,Electronic Arts,0.46,0.02,0.01,0.05,0.54,EA Canada,0
Metro 2033,X360,2010.0,Shooter,THQ,0.22,0.23,0.03,0.05,0.54,4A Games,1
Bust A Groove,PS,1998.0,Misc,Sony Computer Entertainment,0.09,0.06,0.35,0.04,0.54,Unknown,0
Fire Emblem: Path of Radiance,GC,2005.0,Action,Nintendo,0.29,0.08,0.16,0.01,0.54,Intelligent Systems,2
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002.0,Role-Playing,Enix Corporation,0.0,0.0,0.54,0.0,0.54,Unknown,0
Hotel Dusk: Room 215,DS,2007.0,Adventure,Nintendo,0.26,0.04,0.22,0.03,0.54,Cing,2
Final Fantasy Explorers,3DS,2014.0,Role-Playing,Square Enix,0.16,0.07,0.28,0.02,0.54,Racjin,3
Pachi-Slot Aruze Oukoku 2,PS,1999.0,Misc,Aruze Corp,0.0,0.0,0.5,0.04,0.54,Unknown,0
Bratz: Rock Angelz,GBA,2004.0,Misc,THQ,0.39,0.14,0.0,0.01,0.54,Altron,0
SSX Tricky,GC,2001.0,Sports,Electronic Arts,0.42,0.11,0.0,0.01,0.54,EA Sports Big,0
Greg Hastings' Tournament Paintball,XB,2004.0,Shooter,Activision,0.46,0.06,0.0,0.02,0.54,WXP,2
World Soccer Winning Eleven 7 International (JP version),PS2,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.54,0.0,0.54,Unknown,0
ESPN NBA Basketball,PS2,2003.0,Sports,Sega,0.26,0.21,0.0,0.07,0.54,Visual Concepts,0
Dragon Ball Z: Ultimate Tenkaichi,X360,2011.0,Fighting,Namco Bandai Games,0.39,0.1,0.01,0.04,0.54,Spike,2
Sacred 2: Fallen Angel,X360,2009.0,Role-Playing,Deep Silver,0.29,0.16,0.04,0.05,0.54,"Ascaron Entertainment GmbH, Ascaron Entertainment",1
Two Worlds II,X360,2011.0,Role-Playing,Unknown,0.4,0.07,0.03,0.03,0.54,Reality Pump,1
Over the Hedge,PS2,2006.0,Platform,Activision,0.45,0.02,0.0,0.07,0.54,Edge of Reality,3
Mat Hoffman's Pro BMX,PS,2001.0,Sports,Activision,0.3,0.2,0.0,0.04,0.54,Shaba Games,0
Phineas and Ferb: Across the 2nd Dimension,DS,2011.0,Action,Disney Interactive Studios,0.31,0.18,0.0,0.05,0.54,Altron,0
50 Classic Games,DS,2009.0,Misc,Destineer,0.5,0.0,0.0,0.04,0.54,Cerasus Media,0
Let's Draw!,DS,2008.0,Misc,Ubisoft,0.24,0.23,0.0,0.06,0.54,Unknown,0
NHL 14,X360,2013.0,Sports,Electronic Arts,0.4,0.09,0.0,0.05,0.54,Electronic Arts,3
Popeye,2600,1982.0,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54,Unknown,0
Petz Nursery,DS,2009.0,Simulation,Ubisoft,0.5,0.0,0.0,0.04,0.54,Digital Kids,0
The Hobbit,PS2,2003.0,Platform,Vivendi Games,0.26,0.2,0.0,0.07,0.54,Inevitable Entertainment,0
War of the Monsters,PS2,2003.0,Fighting,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.54,Incognito Inc.,2
Harry Potter and the Deathly Hallows - Part 1,Wii,2010.0,Action,Electronic Arts,0.22,0.27,0.0,0.05,0.54,Electronic Arts,2
The Incredible Hulk: Ultimate Destruction,PS2,2005.0,Action,Vivendi Games,0.26,0.2,0.0,0.07,0.54,Radical Entertainment,2
Time Crisis: Razing Storm,PS3,2010.0,Shooter,Namco Bandai Games,0.18,0.2,0.07,0.08,0.54,Nex Entertainment,2
Summer Sports: Paradise Island,Wii,2008.0,Sports,Ubisoft,0.48,0.01,0.0,0.04,0.53,Destineer,0
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998.0,Adventure,Sega,0.0,0.0,0.53,0.0,0.53,Unknown,0
Time Crisis II,PS2,2001.0,Shooter,Namco Bandai Games,0.26,0.2,0.0,0.07,0.53,Namco,2
Inazuma Eleven GO,3DS,2011.0,Role-Playing,Nintendo,0.0,0.05,0.48,0.0,0.53,Unknown,0
Clock Tower,PS,1996.0,Adventure,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53,Unknown,0
NCAA March Madness 06,PS2,2005.0,Sports,Electronic Arts,0.45,0.02,0.0,0.07,0.53,EA Canada,0
LEGO Dimensions,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0.0,0.05,0.53,Traveller's Tales,3
Valkyria Chronicles II,PSP,2010.0,Role-Playing,Sega,0.12,0.15,0.18,0.09,0.53,Sega,2
Jampack Volume 11,PS2,2004.0,Misc,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,Unknown,0
Monster High: Ghoul Spirit,Wii,2011.0,Misc,THQ,0.42,0.07,0.0,0.04,0.53,THQ,0
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010.0,Fighting,Capcom,0.3,0.15,0.03,0.05,0.53,Eighting,2
Rune Factory: A Fantasy Harvest Moon,DS,2006.0,Role-Playing,Rising Star Games,0.35,0.01,0.14,0.03,0.53,Neverland,0
Legacy of Kain: Defiance,PS2,2003.0,Action,Eidos Interactive,0.26,0.2,0.0,0.07,0.53,Crystal Dynamics,1
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,Nintendo,0.38,0.14,0.0,0.01,0.53,Majesco,0
NCAA March Madness 2005,PS2,2004.0,Sports,Electronic Arts,0.44,0.02,0.0,0.07,0.53,EA Canada,0
007 Racing,PS,2000.0,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,Eutechnyx,2
Tactics Ogre: Let Us Cling Together,PSP,2010.0,Role-Playing,Square Enix,0.15,0.07,0.27,0.05,0.53,Square Enix,2
Conflict: Vietnam,PS2,2004.0,Shooter,SCi,0.26,0.2,0.0,0.07,0.53,Pivotal Games,1
Dragon's Crown,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05,0.53,Vanillaware,2
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004.0,Misc,Sega,0.4,0.11,0.0,0.02,0.53,Unknown,0
MLB SlugFest 20-04,PS2,2003.0,Sports,Midway Games,0.26,0.2,0.0,0.07,0.53,Midway,0
Gex 3: Deep Cover Gecko,PS,1999.0,Platform,Eidos Interactive,0.3,0.2,0.0,0.03,0.53,Unknown,0
NASCAR 09,PS2,2008.0,Racing,Electronic Arts,0.26,0.2,0.0,0.07,0.53,EA Tiburon,0
Blitz: The League,XB,2004.0,Sports,Midway Games,0.4,0.11,0.0,0.02,0.53,Midway,1
Manhunt 2,Wii,2007.0,Action,Take-Two Interactive,0.25,0.23,0.0,0.06,0.53,Rockstar Toronto,1
Just Dance 2015,XOne,2014.0,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53,Ubisoft,3
Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53,Unknown,0
The LEGO Movie Videogame,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53,TT Games,3
Virtual Soccer,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.53,0.0,0.53,Unknown,0
Overwatch,PC,2016.0,Shooter,Activision,0.25,0.24,0.0,0.04,0.53,Blizzard Entertainment,2
Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994.0,Strategy,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,Unknown,0
Monster Jam: Path of Destruction,Wii,2010.0,Racing,Activision,0.48,0.02,0.0,0.03,0.53,Virtuos,0
Winning Post,SNES,1993.0,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,Unknown,0
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005.0,Action,Ubisoft,0.34,0.17,0.0,0.02,0.53,Ubisoft Montpellier,2
Burnout Revenge,XB,2005.0,Racing,Electronic Arts,0.32,0.19,0.0,0.01,0.53,Criterion Games,3
Medal of Honor: European Assault,XB,2005.0,Shooter,Electronic Arts,0.32,0.19,0.0,0.02,0.53,EA LA,2
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004.0,Platform,Electronic Arts,0.26,0.2,0.0,0.07,0.53,Krome Studios,0
The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,Universal Interactive,0.31,0.19,0.0,0.03,0.53,WXP,2
NBA 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,SCEA Sports Studio,0
Inazuma Eleven,DS,2008.0,Role-Playing,Nintendo,0.0,0.13,0.38,0.02,0.53,Unknown,0
Excite Truck,Wii,2006.0,Racing,Nintendo,0.39,0.03,0.08,0.04,0.53,Monster Games Inc.,0
Phoenix Wright: Ace Attorney - Justice for All,DS,2006.0,Adventure,Capcom,0.21,0.04,0.26,0.03,0.53,Unknown,0
Spider-Man,N64,2000.0,Action,Activision,0.43,0.09,0.0,0.01,0.53,Unknown,0
Magician's Quest: Mysterious Times,DS,2008.0,Role-Playing,Konami Digital Entertainment,0.04,0.01,0.48,0.0,0.53,Konami,3
Hello Kitty: Big City Dreams,DS,2008.0,Puzzle,Empire Interactive,0.42,0.07,0.0,0.04,0.53,Human Soft,0
X-Men Legends,GC,2004.0,Role-Playing,Activision,0.41,0.11,0.0,0.01,0.53,Raven Software,2
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.05,0.21,0.25,0.02,0.53,Unknown,0
G-Force,DS,2009.0,Action,Disney Interactive Studios,0.26,0.21,0.0,0.05,0.53,Keen Games,3
Front Mission 2,PS,1997.0,Strategy,SquareSoft,0.0,0.0,0.49,0.03,0.53,Unknown,0
StarCraft II: Legacy of the Void,PC,2015.0,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,Blizzard Entertainment,2
Jewel Master Egypt,DS,2009.0,Puzzle,Rondomedia,0.21,0.27,0.0,0.05,0.53,Storm City Games,0
ModNation Racers,PSP,2010.0,Racing,Sony Computer Entertainment,0.11,0.26,0.02,0.14,0.53,SCEA San Diego Studios,0
LEGO Dimensions,X360,2015.0,Action,Warner Bros. Interactive Entertainment,0.26,0.23,0.0,0.04,0.53,Unknown,0
WWE SmackDown vs. Raw 2010,DS,2009.0,Fighting,THQ,0.35,0.13,0.0,0.05,0.53,Yuke's,2
Are You Smarter Than A 5th Grader?,DS,2007.0,Misc,Mindscape,0.48,0.0,0.0,0.04,0.53,ValuSoft,0
Oni,PS2,2001.0,Action,Take-Two Interactive,0.26,0.2,0.0,0.07,0.53,Rockstar Toronto,2
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,Ubisoft,0.35,0.09,0.0,0.08,0.53,"High Voltage Software, Ubisoft Paris",2
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008.0,Action,THQ,0.49,0.0,0.0,0.04,0.53,Incinerator Games,0
Terminator Salvation,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.13,0.28,0.01,0.1,0.53,GRIN,2
How to Train Your Dragon,DS,2010.0,Action,Activision,0.31,0.17,0.0,0.05,0.53,Griptonite Games,3
The Lord of the Rings: The Two Towers,GC,2002.0,Action,Electronic Arts,0.41,0.11,0.0,0.01,0.53,Stormfront Studios,2
Batman: Arkham City,PC,2011.0,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53,Rocksteady Studios,2
Juiced,PS2,2005.0,Racing,THQ,0.26,0.2,0.0,0.07,0.53,Juice Games,2
The Warriors,PS2,2005.0,Action,Take-Two Interactive,0.44,0.02,0.0,0.07,0.53,Rockstar Toronto,1
J-League Soccer: Prime Goal 2,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.53,0.0,0.53,Unknown,0
Star Fox Command,DS,2006.0,Shooter,Nintendo,0.38,0.01,0.1,0.04,0.53,Q-Games,3
Dragon Age: Inquisition,X360,2014.0,Role-Playing,Electronic Arts,0.36,0.12,0.0,0.05,0.53,BioWare,1
Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53,Unknown,0
NASCAR 2000,N64,1999.0,Racing,Electronic Arts,0.49,0.03,0.0,0.0,0.53,Unknown,0
Pachi-Slot Aruze Oukoku 4,PS,2000.0,Misc,Aruze Corp,0.0,0.0,0.49,0.03,0.53,Unknown,0
Bulletstorm,PS3,2011.0,Shooter,Electronic Arts,0.23,0.2,0.01,0.08,0.53,"Epic Games, People Can Fly",1
Return to Castle Wolfenstein: Operation Resurrection,PS2,2003.0,Shooter,Activision,0.26,0.2,0.0,0.07,0.53,Raster,1
Mario Tennis: Power Tour,GBA,2005.0,Sports,Nintendo,0.24,0.09,0.19,0.01,0.52,Camelot Software Planning,0
Seaman,DC,1999.0,Simulation,Sega,0.0,0.0,0.52,0.0,0.52,Vivarium,2
The Grinch,PS,1999.0,Adventure,Konami Digital Entertainment,0.29,0.2,0.0,0.03,0.52,VU Games,0
Tales of Symphonia,PS3,2013.0,Role-Playing,Namco Bandai Games,0.21,0.12,0.13,0.07,0.52,Namco Bandai Games,2
Michael Jackson: The Experience,PS3,2011.0,Misc,Ubisoft,0.25,0.19,0.0,0.08,0.52,Ubisoft Montreal,3
Tales of Destiny,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.52,0.0,0.52,Unknown,0
Stuntman: Ignition,PS3,2007.0,Racing,THQ,0.17,0.26,0.0,0.1,0.52,Paradigm Entertainment,2
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010.0,Simulation,Electronic Arts,0.49,0.0,0.0,0.03,0.52,Unknown,0
F.E.A.R. 2: Project Origin,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0.0,0.05,0.52,Monolith Productions,1
Mystery Dungeon: Shiren the Wanderer,DS,2006.0,Role-Playing,Sega,0.17,0.0,0.33,0.02,0.52,ChunSoft,0
GT Pro Series,Wii,2006.0,Racing,Ubisoft,0.46,0.01,0.02,0.04,0.52,MTO,0
